text,user,created_at,geo,location
"See our latest #Evanston, IL #job and click to apply: Owner Operator, CDL A, Terminal to Terminal -… https://t.co/vCdLdGCkGw",TMJ-CHI Transp. Jobs,Wed Dec 06 17:58:03 +0000 2017,"[42.0450722, -87.6876969]","Evanston, IL"
"We're #hiring! Click to apply: Shift Supervisor Management Trainee - https://t.co/cWD0QSFXoV #Retail #UnionCity, GA #Job #Jobs #CareerArc",TMJ-ATL Retail Jobs,Wed Dec 06 17:58:03 +0000 2017,"[33.5870558, -84.5424299]","Union City, GA"
"See our latest #Chicago, IL #job and click to apply: Hair Stylist - https://t.co/1pPFMgFUhK #Cosmetology #Hiring #CareerArc",TMJ-CHI Cosmo Jobs,Wed Dec 06 17:58:02 +0000 2017,"[41.8643442, -87.6470495]","Chicago, IL"
Who couldn’t use one of these cool bags?? #greatgifts #shopstl #shoplocalstl @ Artmart https://t.co/QxAsbDnUn9,artmart,Wed Dec 06 17:58:04 +0000 2017,"[38.6174583, -90.334938]","Brentwood, MO"
"See our latest #Providence, RI #job and click to apply: Pharmacy Technician - https://t.co/tuWIhaJmgp #Healthcare #Hiring #CareerArc",TM-RIP Health Jobs,Wed Dec 06 17:58:04 +0000 2017,"[41.8239891, -71.4128343]","Providence, RI"
"See our latest #Chicago, IL #job and click to apply: Hair Stylist - https://t.co/1pPFMgFUhK #Cosmetology #Hiring #CareerArc",TMJ-CHI Cosmo Jobs,Wed Dec 06 17:58:02 +0000 2017,"[41.8643442, -87.6470495]","Chicago, IL"
"#Repost @ladyvixxen51 (get_repost)
・・・
BUENOS DIAS MIS AMORES BELLOS !!!! SIGAN DANDOLE PLAY A… https://t.co/ucWE1S2xV2",Rocka 51,Wed Dec 06 17:58:08 +0000 2017,"[40.66666667, -73.88222222]","Brooklyn, NY"
#Dodgers #ThinkBlue Turner has star-studded bachelor party #SportsRoadhouse,Blue Crew SRH,Wed Dec 06 17:58:08 +0000 2017,"[34.07634021, -118.23927002]","Los Angeles, CA"
Awake America watch freedom to fascism pon YouTube @ The Grace Place https://t.co/b0fizQZEmn,Kristo,Wed Dec 06 17:58:09 +0000 2017,"[27.13064852, -80.23204603]","Stuart, FL"
"I'm at Chicago O'Hare International Airport in Chicago, IL https://t.co/urxSLN6h0L",Jesse Stern,Wed Dec 06 17:58:10 +0000 2017,"[41.97151, -87.89537]","Chicago, IL"
"I would blame Belltree for the weird mix, but let’s be honest, I’m the one who’s weird. @ Chapel… https://t.co/sxWIxySwTH",Mason Stroud,Wed Dec 06 17:58:10 +0000 2017,"[35.9259, -79.0395]","Chapel Hill, NC"
Came in for a quick lunch and I get this surprise.… https://t.co/ndPqWVg6dB,Joseph HAP McMullen,Wed Dec 06 17:58:10 +0000 2017,"[28.53942728, -81.37855679]","Orlando, FL"
Giving you simple auto loans in #fortworth #texas #badcredit #credit #autoloans #drivesimple #tx… https://t.co/uZj2zdcWit,Bad Credit Car Loans,Wed Dec 06 17:58:10 +0000 2017,"[32.7574, -97.3332]","Fort Worth, TX"
"#Repost @TBM_IZZO (get_repost)
・・・
#Epic night @TBM_IZZO + @jaquae… https://t.co/8WQqY0Mqbg",DJ-LOUIE LOU,Wed Dec 06 17:58:10 +0000 2017,"[40.72844, -74.005146]","Manhattan, NY"
"We're #hiring! Click to apply: Support Associate - https://t.co/wQ9Jd1wzBO #Sales #Austin, TX #Job #Jobs #CareerArc",TMJ - AUS Sales Jobs,Wed Dec 06 17:58:11 +0000 2017,"[30.3921106, -97.748789]","Austin, TX"
"Join the Booz Allen team! See our latest #job opening here: https://t.co/HAdD81EK7Z #BoozAllen #IT #Philadelphia, P… https://t.co/4bef8D3p1S",Philly IT Jobs,Wed Dec 06 17:58:12 +0000 2017,"[39.9525839, -75.1652215]","Philadelphia, PA"
"See our latest #Herndon, VA #job and click to apply: IT Enterprise Architect, Mid - https://t.co/xNmVEgKT7p… https://t.co/scrGL8vb5A",TMJ-VAV IT Jobs,Wed Dec 06 17:58:12 +0000 2017,"[38.9695545, -77.3860976]","Herndon, VA"
"We're #hiring! Read about our latest #job opening here: General Manager - https://t.co/YjCbTtKza9 #Retail #Valdosta, GA #CareerArc",TMJ-GA Retail Jobs,Wed Dec 06 17:58:12 +0000 2017,"[30.8436226, -83.3206399]","Valdosta, GA"
"If you're looking for work in #Indianapolis, IN, check out this #job: https://t.co/dBkVzRyw66 #CustomerService #Hiring #CareerArc",TMJ-IND CstSrv Jobs,Wed Dec 06 17:58:12 +0000 2017,"[39.8903228, -86.0469501]","Indianapolis, IN"
"Join the Red Lobster team! See our latest #job opening here: https://t.co/tgH5psN53b #Hospitality #Livonia, MI #Hiring #CareerArc",TMJ-DTW HRTA Jobs,Wed Dec 06 17:58:12 +0000 2017,"[42.369686, -83.3381331]","Livonia, MI"
"If you're looking for work in #NewYork, NY, check out this #job: https://t.co/nsLQxGgPZm #BusinessMgmt #Hiring #CareerArc",NYC Management Jobs,Wed Dec 06 17:58:12 +0000 2017,"[40.7509164, -73.9754534]","Manhattan, NY"
"Join the Cedars-Sinai team! See our latest #job opening here: https://t.co/1geGJhtpmi #Healthcare #LosAngeles, CA #Hiring #CareerArc",LA Healthcare Jobs,Wed Dec 06 17:58:13 +0000 2017,"[34.0522342, -118.2436849]","Los Angeles, CA"
"BAMSI is hiring! Join our family as a LPN - Part Time in #EastBridgewater, MA today! https://t.co/UbDCy4NPnD… https://t.co/VVDQTKff7E",TMJ-BOS Nursing Jobs,Wed Dec 06 17:58:13 +0000 2017,"[42.0186059, -70.9711317]","East Bridgewater, MA"
"Interested in a #job in #Centralia, WA? This could be a great fit: https://t.co/i20nSCwVkO #ICU #Hiring #CareerArc",TMJ-WAT Nursing Jobs,Wed Dec 06 17:58:13 +0000 2017,"[46.7162136, -122.9542972]","Centralia, WA"
Как же теперь жить без прохладного бассейна с утра?? 🤣 #florida #brooksville #pool #flychurch… https://t.co/AHhh4wGn1J,Alexander Pushkoff,Wed Dec 06 17:58:13 +0000 2017,"[28.5535, -82.3887]","Brooksville, FL"
Join the Yale-New Haven Hospital team! See our latest #job opening here: https://t.co/M7yEsTYRnk #SupplyChain… https://t.co/BePf6ryMhR,MiddletownCT S-Chain,Wed Dec 06 17:58:13 +0000 2017,"[41.3045436, -72.9357954]","New Haven, CT"
"We're #hiring! Click to apply: Driver Helper - https://t.co/6uKjArYSwa #TruckDriver #Driver #Transportation #Lubbock, TX #Job #Jobs",Labatt Food Service,Wed Dec 06 17:58:13 +0000 2017,"[33.5778631, -101.8551665]","Lubbock, TX"
"Commute in style👔 with METREA H-bar handle/ Shimano original frame🚲
.
.
#shimanobikenyc… https://t.co/pqhy4SRiCt",SHIMANOBIKENYC,Wed Dec 06 17:58:13 +0000 2017,"[40.703253, -73.98959398]","Brooklyn, NY"
"Join the Hyde EC team! See our latest #job opening here: https://t.co/XDtvRnzbHh #STEM #BeAnEngineer #Engineering #Waltham, MA #Hiring",Hyde EC Careers,Wed Dec 06 17:58:14 +0000 2017,"[42.3764852, -71.2356113]","Waltham, MA"
"If you're looking for work in #Irving, TX, check out this #job: https://t.co/6haKV6lo2v #Healthcare #Hiring #CareerArc",TMJ- DFW Health Jobs,Wed Dec 06 17:58:14 +0000 2017,"[32.8140177, -96.9488945]","Irving, TX"
"From gift baskets, custom branded chocolate boxes to private tasting events.  This #holiday2017… https://t.co/hl8k0AlL2u",Cao Chocolates,Wed Dec 06 17:58:15 +0000 2017,"[25.67931, -80.31869]","Kendall, FL"
"Can you recommend anyone for this #job in #Cleveland, TN? https://t.co/Hhh7PlByIG #Sales #CareerArc",Chatanooga Sales Job,Wed Dec 06 17:58:16 +0000 2017,"[35.1595182, -84.8766115]","Cleveland, TN"
We're #hiring! Click to apply: Phlebotomy Technician - https://t.co/pjqrKfrHsG #hcsm #healthcare #PRMC… https://t.co/2JYatKdJWG,PRMC Jobs,Wed Dec 06 17:58:16 +0000 2017,"[38.3606736, -75.5993692]","Salisbury, MD"
"This #job might be a great fit for you: STORE MANAGER CANDIDATE in Cookeville, TN - https://t.co/FEC4u2qMTN #Retail… https://t.co/NkDMgliHZh",TMJ-TN Retail Jobs,Wed Dec 06 17:58:16 +0000 2017,"[36.162839, -85.5016423]","Cookeville, TN"
"TONIGHTTT! ECA 2017 IS HAPPENING TONIGHT. 6:30! BE THERE! Surprises, dancing, music, FREE FOOD,… https://t.co/hdGqSljzHw",The Exchange,Wed Dec 06 17:58:16 +0000 2017,"[30.25966, -92.01913]","Lafayette, LA"
Can you recommend anyone for this #job? Catering Coordinator - Panera Bread - https://t.co/42XhjZFlV9 #parttime… https://t.co/hkCWMlzezc,TMJ-BOS HRTA Jobs,Wed Dec 06 17:58:16 +0000 2017,"[42.3569184, -71.0519823]","Boston, MA"
👉NEXT_LEVEL_HAIR_LOUNGE💈 👀#5054GermantownAve 👈 #everywhereUnowhere🙈🙊😂😂 #barberlife #barberlove… https://t.co/zjFrFkHivi,Jihad Da Barber,Wed Dec 06 17:58:16 +0000 2017,"[40.02984, -75.16541]","Philadelphia, PA"
A special night being able to watch #redtilimdead with @sammyhagar and family seated behind me… https://t.co/VpssMnqPRv,Dave Accardo,Wed Dec 06 17:58:17 +0000 2017,"[37.90635, -122.54684]","Mill Valley, CA"
#ThankyouGod 🙏🏼🙂 Good Morning Beautiful People!...… https://t.co/p1kHHSm75M,Sean Forson  👊🏼😝,Wed Dec 06 17:58:17 +0000 2017,"[40.7333, -111.917]","Salt Lake City, UT"
#NOWPLAYING! LINK IN BIO! Enjoy last night’s ALL-NEW Haitian All-StarZ Radio airing every early… https://t.co/zohLFXX9I1,Hard Hittin Harry,Wed Dec 06 17:58:17 +0000 2017,"[40.68705723, -73.98544192]","Brooklyn, NY"
"Simple. @ The Grill By Arfeen, Smith &amp; Payne https://t.co/ClkQRLuYBZ",R.I.P. MARK B,Wed Dec 06 17:58:18 +0000 2017,"[30.07509, -94.17131]","Beaumont, TX"
#veganglutenfree #juice #organic #avocado #frozencranberries #lemon #orange #slushie @ Los… https://t.co/8n088KeVFs,Laura Ann Tull,Wed Dec 06 17:58:18 +0000 2017,"[34.11152704, -118.30433152]","Los Angeles, CA"
"Stocking up for the weekend (@ Trillium Brewing Company in Boston, MA) https://t.co/nmIWiTNwfx https://t.co/w7qrkkRknx",Brendan O'Neil,Wed Dec 06 17:58:19 +0000 2017,"[42.34980985, -71.04778607]","Boston, MA"
"Can you recommend anyone for this #job? Service Manager - https://t.co/1LcQRA3PwO #BusinessMgmt #Columbus, OH #Veterans #Hiring #CareerArc",TMJ-CHH Mgmt. Jobs,Wed Dec 06 17:58:20 +0000 2017,"[39.9591613, -83.0334524]","Columbus, OH"
Saw this near Freemont St #icu_architecture #jj_architecture #creative_architecture… https://t.co/VY3ceeBkI4,Kevin Lewis,Wed Dec 06 17:58:20 +0000 2017,"[36.1675301, -115.138443]","Las Vegas, NV"
"We're #hiring! Read about our latest #job opening here: Salon Manager - https://t.co/OmUFrObEg6 #Cosmetology #BeeCave, TX #CareerArc",TMJ-AUS Cosmo Jobs,Wed Dec 06 17:58:20 +0000 2017,"[30.3040407, -97.9324135]","Bee Cave, TX"
We're #hiring! Read about our latest #job opening here: Clinician II - PEI North (Mountain View - Bilingual Spanish… https://t.co/Dzkym0EyVd,SanFran SocialSci,Wed Dec 06 17:58:20 +0000 2017,"[37.3226119, -121.8254085]","San Jose, CA"
doctoredkim and his amazing wife Florence presented the entire company with Swag Jackets for… https://t.co/FnDoSjtt3U,Sarah Hayes Harkins,Wed Dec 06 17:58:21 +0000 2017,"[35.22728, -80.84152]","Charlotte, NC"
"This bear is ready to travel! 
.
Stay tuned to learn about this hand carved little bear and how… https://t.co/dMRd065Eyb",Carrie Johnson,Wed Dec 06 17:58:21 +0000 2017,"[47.43867594, -122.30224013]","SeaTac, WA"
"My 13 year old hoopin’ on them last night #TeamNewton @ Portland, Oregon https://t.co/5uGS9HRg5M",Farnell Newton,Wed Dec 06 17:58:21 +0000 2017,"[45.52, -122.682]","Portland, OR"
